size,color,price,uniq_id,brand_name,highlights,product_id,description,ingredients,availability,product_name,primary_image_url
0.15 oz,Toast Of NY,10.49,0026a093012b5657,Revlon,,xlsImpprod2940211,"BenefitsLUSCIOUS COMFORT: Formulated with 80% conditioning ingredientsLUXURIOUS COLOR: Made with microfine pigments for lipstick shades that are rich with color yet lightweight in feelSOFT, FULLER-LOOKING LIPS: Glides on smoothly to visibly minimize lines for soft, fuller-looking lipsMORE SHADES, MORE PLAY: 12 NEW colors, 72 iconic shades in allKey IngredientsFormulated with 80% conditioning ingredientsFeaturesThere are over 130 ways to play with cool, classic and trendy shades ranging from nudes, pinks, reds, corals, browns, and purples","[{""ingredients"": ""Trioctyldodecyl Citrate, Ozokerite, Polybutene, Ethylhexyl Palmitate, Octyldodecyl Neopentanoate, Pentaerythrityl Tetraisostearate, C10 30 Cholesterol/Lanesterol Esters, Bis Diglyceryl Polyacyladipate 2, Caprylic/Capric Triglyceride, Cera Microcristallina (Microcrystalline Wax), Paraffin, Silica, Synthetic Fluorphlogopite, Calcium Sodium Borosilicate, Synthetic Wax, Tocopheryl Acetate, Ascorbyl Palmitate, Aloe Barbadensis Leaf Extract, Serica (Silk Powder), Pentaerythrityl Tetraethylhexanoate, Polyethylene, Ethylene/Propylene Copolymer, Palmitic Acid, Hydrogenated Polyisobutene, BHT, Benzoic Acid, May Contain:, Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 33 Lake (CI 17200), Yellow 5 Lake (CI 19140), Yellow 6 Lake (CI 15985), Blue 1 Lake (CI 42090), Red 6 Lake (CI 15850), Red 7 Lake (CI 15850), Red 27 Lake (CI 45410), Bismuth Oxychloride (CI 77163), Carmine (CI 75470).""}]",in_stock,Super Lustrous Lipstick,https://media.ulta.com/i/ulta/1741437
0.10 oz,Red Flagsiren red,12.49,00a35007a08a0b2a,Milani,"[""Clean Ingredients"", ""Cruelty Free"", ""Vegan"", ""Give Back""]",pimprod2039314,"FeaturesWhipped, mousse-like texture delivers soft-focus matte color & ultra-comfortable wearTapered doe foot applicator for a seamless, smooth, mess-free applicationBenefitsBuildable color payoff in 12 neutral and bold shadesUltra-lightweight, high-comfort wearTransfer-proof for up to 12 hoursFormulated WithoutParabens","[{""ingredients"": ""Red Flag: Isododecane, Barium Sulfate, Trimethylsiloxysilicate, Dimethicone, Mica, Polybutene, C26-28 Alkyl Dimethicone, Aluminum Hydroxide, Glyceryl Behenate/Eicosadioate, Kaolin, Trihydroxystearin, Disteardimonium Hectorite, Persea Gratissima (Avocado) Oil, Propylene Carbonate, Tocopheryl Acetate, Rosin / Colophonium / Colophane, Red 7 Lake (CI 15850), Yellow 5 Lake (CI 19140).""}]",in_stock,Stay Put Liquid Lip Longwear Lipstick,https://media.ulta.com/i/ulta/2610850
0.12 oz,"Uptightmedium warm nude, matte finish",21.0,00b7a7d0df3a0cdb,Urban Decay Cosmetics,"[""Cruelty Free"", ""Vegan""]",pimprod2026577,"BenefitsWith a new look and vegan makeup formula, Vice Lipstick gives you high-impact, long-lasting color in a single, hydrating swipe.Try 35 Los Angeles-inspired shades in three moisturizing, vibrant finishes: cream, matte, and shine.Find your favorite Vice lip color, from sheer pink and everyday nude, to bright orange and bold red lipstick.Forget dry, flaky lips-it's all about the comfy, hydrating feel and even coverage.Vice's creamy, moisturizing makeup formula gets a boost from aloe vera and avocado oil, ingredients known to be rich in antioxidants.Vice Lipstick is Urban Decay's love letter to L.A.","[{""ingredients"": ""Isononyl Isononanoate, Octyldodecanol, Oleyl Erucate, Silica, Phenyl Trimethicone, CI 77891/Titanium Dioxide, Polyethylene, Sesamum Indicum Seed Oil/Sesame Seed Oil, Paraffin, Peg-45/Dodecyl Glycol Copolymer, Cera Microcristallina/Microcrystalline Wax/Cire Microcristalline, Dimethicone, CI 77492/Iron Oxides, CI 77491/Iron Oxides, Kaolin, Synthetic Wax, Disteardimonium Hectorite, Tocopheryl Acetate, Dimethicone Crosspolymer, CI 77499/Iron Oxides, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, CI 15850/Red 7, Persea Gratissima Oil/Avocado Oil, Aluminum Hydroxide, Isopropyl Palmitate, Isopropyl Myristate, Triethoxycaprylylsilane, Aloe Barbadensis Leaf Extract, Tocopherol, Hydrogenated Palm Glycerides Citrate, Helianthus Annuus Seed Oil/Sunflower Seed Oil, Rosmarinus Officinalis Leaf Extract/Rosemary Leaf Extract.""}]",in_stock,Vice Hydrating Lipstick,https://media.ulta.com/i/ulta/2584541
0.1 oz,Satin Currant Red - 108,17.0,00c632144eb2dd66,KIKO Milano,,pimprod2032259,"Benefits12-hour unmovable lip colorSuper speedy dry-down timeLip gloss fiber applicator guarantees a light, non-goopy layerGlides on with even color distributionKey IngredientsConditioning Polymers: Maintain smooth, long-wear comfort on lipsCruelty-Free Pigments: All the bold color, with no harm doneResearch ResultsDermatologically testedClinically proven to last up to 12 hours","[{""ingredients"": ""Base Color Ingredients: Isododecane, Bis-Hydroxyethoxypropyl Dimethicone/Ipdi Copolymer Ethylcarbamate, Disteardimonium Hectorite, Mica, Dimethicone/Vinyl Dimethicone Crosspolymer, Dimethicone, Alcohol, Aqua (Water/Eau), Ethyl Vanillin, Dicalcium Phosphate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Laureth-4, Tin Oxide. +/- (May Contain): CI 77891 (Titanium Dioxide), CI 77491 - CI 77492 - CI 77499 (Iron Oxides), CI 15850 (Red 6, Red 7, Red 7 Lake), CI 15985 (Yellow 6 Lake), CI 19140 (Yellow 5 Lake), CI 42090 (Blue 1 Lake), CI 45410 (Red 28 Lake). Top Coat Ingredients: Dimethicone, Cetyl Peg/Ppg-10/1 Dimethicone, Cera Microcristallina (Microcrystalline Wax /Cire Microcristalline), Paraffin, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate.""}]",in_stock,Unlimited Double Touch,https://media.ulta.com/i/ulta/2595759
0.12 oz,RECITEmuted cayenne​,20.0,00de6b3451906bbd,WYN BEAUTY,"[""Clean Ingredients"", ""Cruelty Free"", ""Vegan"", ""Give Back""]",pimprod2044283,"Benefits10 shades with full-coverage, matte color payoff in one swipeHydration complex and other natural moisturizing factors locks in hydration all dayFeaturesVeganCruelty FreeSafe for Sensitive Skin, Dermatologically TestedFree of Parabens, Mineral Oil, Talc, PEGsResearch Results100% Agree product is comfortable on lips*100% Agree product applies smoothly and evenly on lips**20 subject panel","[{""ingredients"": ""Dimethicone, Caprylic/Capric Triglyceride, Synthetic Wax, Octyldodecanol, Polysilicone-11, Polyhydroxystearic Acid, Disteardimonium Hectorite, Synthetic Beeswax, Ricinus Communis (Castor) Seed Oil, Dicalcium Phosphate, Hydrated Silica, Sodium Hyaluronate, Copernicia Cerifera (Carnauba) Wax, Aluminum Hydroxide, Triethoxycaprylylsilane, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Hydrogenated Castor Oil, Titanium Dioxide (CI 77891), Blue 1 Lake (CI 42090), May Contain (+/-): Red 28 Lake (CI 45410), Yellow 5 Lake (CI 19140), Red 7 Lake (CI 15850), Red 6 (CI 15850), Red 7 (CI 15850), Iron Oxides (CI 77491, CI 77499).""}]",in_stock,Word of Mouth Max Comfort Matte Lipstick,https://media.ulta.com/i/ulta/2622311
0.17 oz,Topped With Brandydeep dirty rose,26.0,00e375b80c2a4e27,MAC,,xlsImpprod16011011,"BenefitsImmediate and 8-hour moistureColor wears evenly and smoothly, 8 hoursProvides Stay-true color, 8 hoursNon-feathering, non-bleedingFeaturesLiquid lipstickMatte finishLong-lasting colorFormulated WithoutOilPhthalatesParabenRetinyl PalmitateMineral OilPetrolatumFormaldehydePolyethyleneHydroquinoneTriclosanCoal TarToluene","[{""ingredients"": ""Isododecane, Dimethicone, Trimethylsiloxysilicate, Polybutene, Petrolatum, Cyclohexasiloxane, Kaolin, Disteardimonium Hectorite, Beeswax / Cera Alba / Cire D'abeille, Silica Dimethyl Silylate, Tocopherol, Persea Gratissima (Avocado) Oil, Cyclopentasiloxane, Glyceryl Behenate / Eicosadioate, Tin Oxide, Propylene Carbonate, Caprylyl Glycol, Hexylene Glycol, Flavor (Aroma), Phenoxyethanol. May Contain: Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491), Iron Oxides (CI 77492), Iron Oxides (CI 77499), Blue 1 Lake (CI 42090), Carmine (CI 75470), Red 6 (CI 15850), Red 28 (CI 45410), Red 30 (CI 73360), Red 7 Lake (CI 15850), Red 22 Lake (CI 45380), Red 28 Lake (CI 45410), Red 30 Lake (CI 73360), Red 33 Lake (CI 17200), Yellow 5 Lake (CI 19140), Yellow 6 Lake (CI 15985).Please read the ingredient list on the packaging of your product to be sure that the ingredients are appropriate for your personal use.""}]",in_stock,Retro Matte Liquid Lipstick,https://media.ulta.com/i/ulta/2511602
0.13 oz,Coffeea light brown on light brown lip tones,24.0,00e6205ffba33f7c,POUND CAKE,"[""Clean Ingredients"", ""Cruelty Free"", ""Vegan"", ""Give Back""]",pimprod2042129,BenefitsNon-dryingComfortable and moisturizing throughout the dayNo flaking or crumblingLong-lastingVeganGluten-freeSmells sweet (like cake batter)Paraben-freeNut-freeSoy-freeGMO-freeFeatures1x TIME Magazine Best Invention of the Year2x Allure Best of Beauty Award1x Essence Best in Black Beauty1x Harper’s Bazaar Icon Award1x Nylon Beauty Hit List Award1x Glamour Best of Clean Award1x Self Magazine Health Beauty AwardKey IngredientsAvocado Oil: To promote collagen in the skin and lock in moistureVitamin E: To help prevent UV damage and toxic pollutants to the skin,"[{""ingredients"": ""Trimethylsiloxysilicate, Isododecane, Silica, Mica, Polyhydroxystearic Acid, Vp/Eicosene Copolymer, Isononyl Isononanoate, Dimethicone, Flavor (Aroma), Glyceryl Behenate, Isopropyl Myristate, Hydrogenated&Nbsp; Polycyclopentadiene, Disteardimonium Hectorite, Polyethylene, Propylene Carbonate, Isopropyl Titanium Triisostearate, Stearalkonium Hectorite, Triethoxycaprylylsilane, Caprylyl Glycol, Ethylhexylglycerin, Persea Gratissima (Avocado) Oil, Tocopheryl Acetate, Coumarin. May Contain: +/- Titanium Dioxide (CI 77891), Iron Oxides (CI 77491), Iron Oxides (CI 77492), Iron Oxides (CI 77499), Yellow 5 Lake (CI 19140), Red 7 Lake (CI 15850), Red 28 Lake (CI 45410).""}]",in_stock,Cake Batter Liquid Lipstick,https://media.ulta.com/i/ulta/2628688
0.035 oz,Caramellacreme baby pink,8.0,00e90f7577780a75,ColourPop,"[""Cruelty Free""]",pimprod2009395,"BenefitsSuper pigmentedOne-swipe intensityMedium-to-full coverageLong-lasting, creamy formulaNon-drying feelComfy on the lipsCrème finishKey IngredientsMango seed, avocado & shea butter lock in moistureAntioxidant-rich Vitamin E nourishes lips","[{""ingredients"": ""Caramella: Synthetic Wax, Octyldodecyl Stearoyl Stearate, Microcrystalline Wax, Paraffin, Lauryl Laurate, Tocopherol, Glycine Soja (Soybean) Oil, Glycerin, C12-16 Alcohols, Hydrogenated Lecithin, Palmitic Acid, Betaine, Momordica Grosvenori Fruit Extract, Mangifera Indica (Mango) Seed Butter, Persea Gratissima (Avocado) Oil, Hydrogenated Vegetable Oil, Butyrospermum Parkii (Shea) Butter, Flavor, Triethoxycaprylylsilane. May Contain: Bismuth Oxychloride (Ci 77163), Blue 1 Lake (Ci 42090), Carmine (Ci 75470), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Manganese Violet (Ci 77742), Mica (Ci 77019), Red 6 (Ci 15850), Red 6 Lake (Ci 15850), Red 7 Lake (Ci 15850) , Red 7 (Ci 15850), Red 27 Lake (Ci 45410), Red 28 Lake (Ci 45410), Red 28 (Ci 45410), Red 40 (Ci 16035), Red 40 Lake (Ci 16035), Titanium Dioxide (Ci 77891), Yellow 5 Lake (Ci 19140), Yellow 6 Lake (Ci 15985), Yellow 10 Lake (Ci 47005).""}]",in_stock,Lippie Stix,https://media.ulta.com/i/ulta/2626833
0.05 oz,Rubyberry,12.0,00f1cdb8018857b0,ULTA Beauty Collection,"[""Clean Ingredients"", ""Cruelty Free"", ""Give Back""]",pimprod2046747,BenefitsMatte finishFull coverageIntense color pay-offFeels comfortable and lightweightSlim component for precise applicationFeaturesProudly cruelty free with clean ingredients,"[{""ingredients"": ""Isododecane, Diisostearyl Malate, Synthetic Wax, Dimethicone, Caprylyl Methicone, Polybutene, Dimethicone/Vinyl Dimethicone Crosspolymer, Dimethylimidazolidinone Rice Starch, Glyceryl Caprylate, Distarch Phosphate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Silica, Isoceteth-10. May Contain: Mica, Iron Oxides, Titanium Dioxide, Red 6, Red 7, Red 7 Lake, Blue 1 Lake, Manganese Violet, Red 28 Lake, Red 21, Yellow 5 Lake.Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.""}]",in_stock,Velvet Matte Lip Crayon,https://media.ulta.com/i/ulta/2617507
0.15 oz,Secret Club,10.49,010a025760a80ffb,Revlon,,xlsImpprod2940211,"BenefitsLUSCIOUS COMFORT: Formulated with 80% conditioning ingredientsLUXURIOUS COLOR: Made with microfine pigments for lipstick shades that are rich with color yet lightweight in feelSOFT, FULLER-LOOKING LIPS: Glides on smoothly to visibly minimize lines for soft, fuller-looking lipsMORE SHADES, MORE PLAY: 12 NEW colors, 72 iconic shades in allKey IngredientsFormulated with 80% conditioning ingredientsFeaturesThere are over 130 ways to play with cool, classic and trendy shades ranging from nudes, pinks, reds, corals, browns, and purples","[{""ingredients"": ""Trioctyldodecyl Citrate, Ozokerite, Polybutene, Ethylhexyl Palmitate, Octyldodecyl Neopentanoate, Pentaerythrityl Tetraisostearate, C10 30 Cholesterol/Lanesterol Esters, Bis Diglyceryl Polyacyladipate 2, Caprylic/Capric Triglyceride, Cera Microcristallina (Microcrystalline Wax), Paraffin, Silica, Synthetic Fluorphlogopite, Calcium Sodium Borosilicate, Synthetic Wax, Tocopheryl Acetate, Ascorbyl Palmitate, Aloe Barbadensis Leaf Extract, Serica (Silk Powder), Pentaerythrityl Tetraethylhexanoate, Polyethylene, Ethylene/Propylene Copolymer, Palmitic Acid, Hydrogenated Polyisobutene, BHT, Benzoic Acid, May Contain:, Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 33 Lake (CI 17200), Yellow 5 Lake (CI 19140), Yellow 6 Lake (CI 15985), Blue 1 Lake (CI 42090), Red 6 Lake (CI 15850), Red 7 Lake (CI 15850), Red 27 Lake (CI 45410), Bismuth Oxychloride (CI 77163), Carmine (CI 75470).""}]",in_stock,Super Lustrous Lipstick,https://media.ulta.com/i/ulta/2557108
0.17 oz,660 First Lovedeep raspberry,13.99,0117f5529ef2ee5e,L'Oréal,,pimprod2039455,"FeaturesTransfer and smudge resistant for an all-day longwear matte finishWith a lightweight feel, Infused with Hyaluronic AcidBold color payoff in one effortless swipe with precise applicatorAvailable in multiple irresistible shades, Find yours todayBenefitsInfused with Hyaluronic acid","[{""ingredients"": ""Dimethicone, Isododecane, Trimethylsiloxysilicate, Nylon-611/Dimethicone Copolymer, Dimethicone Crosspolymer, C30-45 Alkyldimethylsilyl Polypropylsilsesquioxane, Lauroyl Lysine, Silica Silylate, Phenoxyethanol, Ethylhexyl Palmitate, Triethoxysilylethyl Polydimethylsiloxyethyl Dimethicone, Isopropyl Titanium Triisostearate, Trihydroxystearin, Benzyl Alcohol, Sodium Hyaluronate, Glucomannan, Parfum/Fragrance. May Contain: CI 77891/Titanium Dioxide, CI 15850/Red 7, CI 77491, CI 77492, CI 77499/Iron Oxides, CI 45380/Red 22 Lake, CI 45410/Red 28 Lake, CI 15985/Yellow 6 Lake, CI 19140/Yellow 5 Lake, CI 15850/Red 6, CI 42090/Blue 1 Lake. Fil N70028102/1.""}]",in_stock,Infallible Matte Resistance Liquid Lipstick,https://media.ulta.com/i/ulta/2625513
0.13 oz,Girl Gangplum,27.0,011c0ccdc6bb14b4,Smashbox,"[""Clean Ingredients"", ""Cruelty Free"", ""Sustainable Packaging Brand"", ""Give Back""]",xlsImpprod14411007,"BenefitsInfused with Primer Oil Complex for added comfort (a blend of jojoba, apricot & sunflower oils)Waterproof, long-wearing formula that lasts up to 8 hoursDelivers bold, lightweight color with a velvety matte finishNon-drying; won't feather, bleed or cakePrecision tip applicator lines & fillsComes in a range of highly saturated matte & metallic matte shadesCruelty-freeFormulated WithoutParabens, Phthalates, SLS & SLES, Fragrance, Gluten, Triclosan, Formaldehyde, Retinyl Palmitate, Coal Tar, Hydroquinone","[{""ingredients"": ""Isododecane, Dimethicone, Trimethylsiloxysilicate, Polybutene, Petrolatum, Cyclohexasiloxane, Kaolin, Disteardimonium Hectorite, Beeswax / Cera Alba / Cire D'Abeille, Silica Dimethyl Silylate, Glyceryl Behenate / Eicosadioate, Tocopheryl Acetate, Propylene Carbonate, Helianthus Annuus (Sunflower) Seed Oil, Prunus Armeniaca (Apricot) Kernel Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Cyclopentasiloxane, Flavor (Aroma), Caprylyl Glycol, Hexylene Glycol, Phenoxyethanol. May Contain: Blue 1 Lake (CI 42090), Carmine (CI 75470), Iron Oxides (CI 77491), Iron Oxides (CI 77492), Iron Oxides (CI 77499), Mica, Red 6 (CI 15850), Red 7 Lake (CI 15850), Red 22 Lake (CI 45380), Red 28 (CI 45410), Red 28 Lake (CI 45410), Red 30 (CI 73360), Red 30 Lake (CI 73360), Red 33 Lake (CI 17200), Titanium Dioxide (CI 77891), Yellow 5 Lake (CI 19140), Yellow 6 Lake (CI 15985)Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.""}]",in_stock,Always On Longwear Matte Liquid Lipstick,https://media.ulta.com/i/ulta/2306281
0.15 oz,Canyon On Firebright coral,4.0,0133e56f6c16e482,about-face,"[""Clean Ingredients"", ""Cruelty Free"", ""Vegan""]",pimprod2033366,"BenefitsPigment-saturated, creamy matte liquid lipstick that serves intense one-swipe coverage and long-lasting wear.Has a no-budge, no-smudge, peppermint-infused formula.FeaturesIt swipes on with one stroke for enduring, intense coverage.All about-face products are 100% vegan and cleanly-formulated.","[{""ingredients"": ""Isododecane, Mica, Dimethicone, Hydrogenated Vegetable Oil, Polybutene, Disteardimonium Hectorite, Silica Dimethyl Silylate, Octyldodecanol, HDI/Trimethylol Hexyllactone Crosspolymer, Trimethylsiloxysilicate, Propylene Carbonate; Aroma/Flavor, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Silica, Limonene, Linalool. [+/ - (May contain / Peut contenir): Titanium Dioxide (CI 77891), Iron Oxides (CI 77492), Iron Oxides (CI 77491), Red 7 Lake (CI 15850), Blue 1 Lake (CI 42090), Iron Oxides (CI 77499), Red 28 Lake (CI 45410), Red 21 (CI 45380), Yellow 5 Lake (CI 19140), Red 6 (CI 15850)].""}]",in_stock,Paint,https://media.ulta.com/i/ulta/2599855
0.15 oz,Rose and Shine,10.49,015060bd402cdc1a,Revlon,,xlsImpprod2940211,"BenefitsLUSCIOUS COMFORT: Formulated with 80% conditioning ingredientsLUXURIOUS COLOR: Made with microfine pigments for lipstick shades that are rich with color yet lightweight in feelSOFT, FULLER-LOOKING LIPS: Glides on smoothly to visibly minimize lines for soft, fuller-looking lipsMORE SHADES, MORE PLAY: 12 NEW colors, 72 iconic shades in allKey IngredientsFormulated with 80% conditioning ingredientsFeaturesThere are over 130 ways to play with cool, classic and trendy shades ranging from nudes, pinks, reds, corals, browns, and purples","[{""ingredients"": ""Trioctyldodecyl Citrate, Ozokerite, Polybutene, Ethylhexyl Palmitate, Octyldodecyl Neopentanoate, Pentaerythrityl Tetraisostearate, C10 30 Cholesterol/Lanesterol Esters, Bis Diglyceryl Polyacyladipate 2, Caprylic/Capric Triglyceride, Cera Microcristallina (Microcrystalline Wax), Paraffin, Silica, Synthetic Fluorphlogopite, Calcium Sodium Borosilicate, Synthetic Wax, Tocopheryl Acetate, Ascorbyl Palmitate, Aloe Barbadensis Leaf Extract, Serica (Silk Powder), Pentaerythrityl Tetraethylhexanoate, Polyethylene, Ethylene/Propylene Copolymer, Palmitic Acid, Hydrogenated Polyisobutene, BHT, Benzoic Acid, May Contain:, Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 33 Lake (CI 17200), Yellow 5 Lake (CI 19140), Yellow 6 Lake (CI 15985), Blue 1 Lake (CI 42090), Red 6 Lake (CI 15850), Red 7 Lake (CI 15850), Red 27 Lake (CI 45410), Bismuth Oxychloride (CI 77163), Carmine (CI 75470).""}]",in_stock,Super Lustrous Lipstick,https://media.ulta.com/i/ulta/2157066
0.08 oz,Galabrick rose,26.0,015d43204003a9b5,ILIA,"[""Clean Ingredients"", ""Cruelty Free"", ""Give Back""]",pimprod2047224,"BenefitsLong-wear, up to 12-hoursBleed-resistantSmoothingBarrier-building12 soft-matte shadesCreamy, weightless textureDermatologist-testedKey IngredientsSea Succulent - Dramatically boosts hydration + helps replenish the skin barrier over timeHyaluronic Acid - Attracts moisture to skin to hydrate, smooth + plump for fuller-looking lipsSeaweed Extract - Sustainably sourced skin supporter that visibly improves definition + volumeRosehip Oil - Skin conditioner rich in fatty acids that help to nourish + soften lipsResearch Results100% said lips were smoothed*98% said lips looked fuller*98% said their lips felt moisturized**96% said the product doesn't bleed**Instant results(*). Results after 8 days(**).","[{""ingredients"": ""Tridecyl Trimellitate, Octyldodecanol, Dicalcium Phosphate, Synthetic Wax, Caprylic/Capric Triglyceride, Diisostearyl Malate, Synthetic Beeswax, Helianthus Annuus (Sunflower) Seed Wax, Rosa Canina Fruit Oil, Salicornia Herbacea Extract, Undaria Pinnatifida Extract, Sodium Hyaluronate, Rubus Idaeus (Raspberry) Leaf Extract, Ricinus Communis (Castor) Seed Oil, Disteardimonium Hectorite, Propylene Carbonate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Hydrogenated Castor Oil, Barium Sulfate. May Contain: CI 77891 (Titanium Dioxide), CI 15850 (Red 7 Lake), Mica, CI 15850 (Red 6), CI 19140 (Yellow 5 Lake), CI 15850 (Red 7), CI 77491, CI 77492, CI 77499 (Iron Oxides), CI 15850 (Red 7), CI 45410 (Red 28 Lake), CI 42090 (Blue 1 Lake), CI 45380 (Red 22 Lake), CI 15985 (Yellow 6 Lake).""}]",in_stock,Lip Sketch Hydrating Crayon,https://media.ulta.com/i/ulta/2629402
0.14 oz,Upgradedlight lavender mauve,35.0,01627f6d2885b529,MAC,,pimprod2037470,"BenefitsKissproof, transfer-proof, waterproof, budge-proof lipstickColour-true, 24 hoursNon-bleeding, non-feathering, non-flaking, 24 hoursDouble-coated, ultra-refined lipstick pigments that gently hug lipsKey IngredientsPassion Fruit Oil, Coconut Oil, Shea Butter: Provides a hydrating, comfortable, next-to-naked feel.Research Results99% said it was easy to apply to lips*92% said colour looked smooth throughout the day and kept lips feeling comfortable**Consumer testing on 143 panelists after one week of product use2023 Allure Best of Beauty Award Winner","[{""ingredients"": ""Isododecane, Dimethicone Silylate, Ppg-51/Smdi Copolymer, Disteardimonium Hectorite, Dimethicone, Polymethyl Methacrylate, Kaolin, Boron Nitride, Silica, Passiflora Edulis Seed Oil, Propylene Carbonate, Hdi/Trimethylol Hexyllactone Crosspolymer, Petrolatum, Polybutene, Cocos Nucifera (Coconut) Oil, Butyrospermum Parkii (Shea) Butter, Caprylyl Glycol, Octyldodecanol, Polydecene, Triethoxysilylethyl Polydimethylsiloxyethyl Dimethicone, Methicone, Acrylates/Ethylhexyl Acrylate/Dimethicone Methacrylate Copolymer, Copernicia Cerifera (Carnauba) Wax\\ Copernicia Cerifera Cera \\Cire De Carnauba, Synthetic Beeswax, Hexylene Glycol, Isopropyl Titanium Triisostearate, Trimethylsiloxysilicate, Saccharin, Tetrahexyldecyl Ascorbate, Tocopheryl Acetate, Fragrance (Parfum), Phenoxyethanol, [+/- Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491), Iron Oxides (CI 77492), Iron Oxides (CI 77499), Blue 1 Lake (CI 42090), Red 6 (CI 15850), Red 7 (CI 15850), Red 21 (CI 45380), Red 27 (CI 45410), Red 28 (CI 45410), Red 30 (CI 73360), Red 33 (CI 17200), Red 6 Lake (CI 15850), Red 7 Lake (CI 15850), Red 21 Lake (CI 45380), Red 27 Lake (CI 45410), Red 28 Lake (CI 45410), Red 30 Lake (CI 73360), Red 33 Lake (CI 17200), Yellow 5 (CI 19140), Yellow 5 Lake (CI 19140), Yellow 6 Lake (CI 15985)].""}]",in_stock,Locked Kiss Ink Lipstick,https://media.ulta.com/i/ulta/2604776
0.12 oz,12.5NB Callarosy brown,27.0,017cb15257736595,NATASHA DENONA,,pimprod2038011,"FeaturesHigh-performance lipstick inspired by ND's cult classic I Need A Nude Lipstick range.Delivers immediate, vibrant color & intense hydration with a smooth shine & comfortable wear.Innovative full coverage gel-based lipstick that defines and conditions the lips while providing maximum moisture.Lightweight, creamy formula melts into skin & keeps lips plump and hydrated over time.BenefitsInfused with aloe vera & papaya fruit extracts with anti-oxidants & anti-inflammatory to leave the skin smooth & hydrated.Long-lasting & water-resistant formula.Formulated without talc, parabens, d5, fragrance.Research Results90% agree lips feel instantly hydrated85% agree lips feel hydrated overtime*Consumer testing on 20 people over 3 days","[{""ingredients"": ""12.5NB Calla: Triisodecyl Trimellitate Trimethylolpropane Triisostearate Polybutene Octyldodecanol Titanium Dioxide (CI 77891) Microcrystalline Wax (Cera Microcristallina) Hydrogenated Polyisobutene Caprylic/Capric Triglyceride Vp/Eicosene Copolymer Polyethylene Mica Iron Oxides (CI 77491) Iron Oxides (CI 77492) Stearalkonium Bentonite Methyl Methacrylate Crosspolymer Red 7 Lake (CI 15850) Hydrogenated Styrene/Butadiene Copolymer Phytosteryl Isostearate Propylene Carbonate Blue 1 Lake (CI 42090) Pentaerythrityl Tetra-Di-T- Butyl Hydroxyhydrocinnamate Ethyl Vanillin Dicalcium Phosphate Bht Rubus Idaeus (Raspberry) Leaf Extract [Rubus Idaeus Leaf Extract] Yellow 5 Lake (CI 19140) Tin Oxide.""}]",in_stock,I Need A Rose Lipstick,https://media.ulta.com/i/ulta/2606729
